00003818120003e0
00000818120007de
0000081812000bdc
0000080c12000fda
00000818120013d8
00000818120017d6
0000081812001bd4
0000081012001fd2
00000818120023d0
00000818120027ce
0000081812002bcc
0000081412002fca
00000818120033c8
00000818120037c6
0000081812003bc4
0000081812003fc2
00000818120043c0
00000818120047be
0000081812004bbc
0000081812004fba
00000818120053b8
00000818120057b6
0000081812005bb4
0000081812005fb2
00000818120063b0
00000818120067ae
0000081812006bac
0000081812006faa
00000818120073a8
00000818120077a6
0000081812007ba4
0000081812007fa2
00000818120083a0
000008181200879e
0000081812008b9c
0000081812008f9a
0000081812009398
0000081812009796
0000081812009b94
0000081812009f92
000008181200a390
000008181200a78e
000008181200ab8c
000008181200af8a
000008181200b388
000008181200b786
000008181200bb84
000008181200bf82
000008181200c380
000008181200c77e
000008181200cb7c
000008181200cf7a
000008181200d378
000008181200d776
000008181200db74
000008181200df72
000008181200e370
000008181200e76e
000008181200eb6c
000008181200ef6a
000008181200f368
000008181200f766
0000080812007fe0
00000818120083de
00000818120087dc
0000081812008bda
0000080c12008fd8
00000818120093d6
00000818120097d4
0000081812009bd2
0000081012009fd0
000008181200a3ce
000008181200a7cc
000008181200abca
000008141200afc8
000008181200b3c6
000008181200b7c4
000008181200bbc2
000008181200bfc0
000008181200c3be
000008181200c7bc
000008181200cbba
000008181200cfb8
000008181200d3b6
000008181200d7b4
000008181200dbb2
000008181200dfb0
000008181200e3ae
000008181200e7ac
000008181200ebaa
000008181200efa8
000008181200f3a6
000008181200f7a4
000008181200801e
000008181200841c
000008181200881a
0000081812008c18
0000081812009016
0000081812009414
0000081812009812
0000081812009c10
000008181200a00e
000008181200a40c
000008181200a80a
000008181200ac08
000008181200b006
000008181200b404
000008181200b802
000008181200bc00
000008001200bffe
000008181200c3fc
000008181200c7fa
000008181200cbf8
000008001200cff6
000008181200d3f4
000008181200d7f2
000008181200dbf0
000008041200dfee
000008181200e3ec
000008181200e7ea
000008181200ebe8
000008081200efe6
000008181200f3e4
000008181200f7e2
000008181200805c
000008181200845a
0000081812008858
0000081812008c56
0000081812009054
0000081812009452
0000081812009850
0000081812009c4e
000008181200a04c
000008181200a44a
000008181200a848
000008181200ac46
000008181200b044
000008181200b442
000008181200b840
000008181200bc3e
000008181200c03c
000008181200c43a
000008181200c838
000008181200cc36
000008181200d034
000008181200d432
000008181200d830
000008181200dc2e
000008181200e02c
000008181200e42a
000008181200e828
000008181200ec26
000008181200f024
000008181200f422
000008181200f820
000008181200809a
0000081812008498
0000081812008896
0000081812008c94
0000081812009092
0000081812009490
000008181200988e
0000081812009c8c
000008181200a08a
000008181200a488
000008181200a886
000008181200ac84
000008181200b082
000008181200b480
000008181200b87e
000008181200bc7c
000008181200c07a
000008181200c478
