00002018120100b8
00000818120104b6
00000818120108b4
0000081812010cb2
00000818120110b0
00000818120114ae
00000818120118ac
0000081812011caa
00000818120120a8
00000818120124a6
00000818120128a4
0000081812012ca2
00000818120130a0
000008181201349e
000008181201389c
0000081812013c9a
0000081812014098
0000081812014496
0000081812014894
0000081812014c92
0000081812015090
000008181201548e
000008181201588c
0000081812015c8a
0000081812016088
0000081812016486
0000081812016884
0000081812016c82
0000081812017080
000008181201747e
000008181201787c
00000818120100f6
00000818120104f4
00000818120108f2
0000081812010cf0
00000818120110ee
00000818120114ec
00000818120118ea
0000081812011ce8
00000818120120e6
00000818120124e4
00000818120128e2
0000081812012ce0
00000818120130de
00000818120134dc
00000818120138da
0000081812013cd8
00000818120140d6
00000818120144d4
00000818120148d2
0000081812014cd0
00000818120150ce
00000818120154cc
00000818120158ca
0000081812015cc8
00000818120160c6
00000818120164c4
00000818120168c2
0000081812016cc0
00000818120170be
00000818120174bc
00000818120178ba
0000081812010134
0000081812010532
0000081812010930
0000081812010d2e
000008181201112c
000008181201152a
0000081812011928
0000081812011d26
0000081812012124
0000081812012522
0000081812012920
0000081812012d1e
000008181201311c
000008181201351a
0000081812013918
0000081812013d16
0000081812014114
0000081812014512
0000081812014910
0000081812014d0e
000008181201510c
000008181201550a
0000081812015908
0000081812015d06
0000081812016104
0000081812016502
0000081812016900
0000081812016cfe
00000818120170fc
00000818120174fa
00000818120178f8
0000081812010172
0000081812010570
000008181201096e
0000081812010d6c
000008181201116a
0000081812011568
0000081812011966
0000081812011d64
0000081812012162
0000081812012560
000008181201295e
0000081812012d5c
000008181201315a
0000081812013558
0000081812013956
0000081812013d54
0000081812014152
0000081812014550
000008181201494e
0000081812014d4c
000008181201514a
0000081812015548
0000081812015946
0000081812015d44
0000081812016142
0000081812016540
000008181201693e
0000081812016d3c
000008181201713a
0000081812017538
0000081812017936
00000818120101b0
00000818120105ae
00000818120109ac
0000081812010daa
00000818120111a8
00000818120115a6
00000818120119a4
0000081812011da2
00000818120121a0
000008181201259e
000008181201299c
0000081812012d9a
0000081812013198
0000081812013596
0000081812013994
0000081812013d92
0000081812014190
000008181201458e
000008181201498c
0000081812014d8a
0000081812015188
0000081812015586
0000081812015984
0000081812015d82
0000081812016180
000008181201657e
000008181201697c
0000081812016d7a
0000081812017178
0000081812017576
0000081812017974
00000818120101ee
00000818120105ec
00000818120109ea
0000081812010de8
00000818120111e6
00000818120115e4
00000818120119e2
0000081812011de0
00000818120121de
00000818120125dc
00000818120129da
0000081812012dd8
00000818120131d6
00000818120135d4
00000818120139d2
0000081812013dd0
00000818120141ce
00000818120145cc
00000818120149ca
0000081812014dc8
00000818120151c6
00000818120155c4
00000818120159c2
0000081812015dc0
00000818120161be
00000818120165bc
00000818120169ba
0000081812016db8
00000818120171b6
00000818120175b4
00000818120179b2
000008181201022c
000008181201062a
0000081812010a28
0000081812010e26
0000081812011224
0000081812011622
0000081812011a20
0000081812011e1e
000008181201221c
000008181201261a
0000081812012a18
0000081812012e16
0000081812013214
0000081812013612
0000081812013a10
0000081812013e0e
000008181201420c
000008181201460a
0000081812014a08
0000081812014e06
0000081812015204
0000081812015602
0000081812015a00
0000081812015dfe
00000818120161fc
00000818120165fa
00000818120169f8
0000081812016df6
00000818120171f4
00000818120175f2
00000818120179f0
000008181201026a
0000081812010668
0000081812010a66
0000081812010e64
0000081812011262
0000081812011660
0000081812011a5e
0000081812011e5c
000008181201225a
0000081812012658
0000081812012a56
0000081812012e54
0000081812013252
0000081812013650
0000081812013a4e
0000081812013e4c
000008181201424a
0000081812014648
0000081812014a46
0000081812014e44
0000081812015242
0000081812015640
0000081812015a3e
0000081812015e3c
000008181201623a
0000081812016638
0000081812016a36
0000081812016e34
0000081812017232
0000081812017630
0000081812017a2e
000020181202fe48
0000081812030246
0000081812030644
0000081812030a42
0000081812030e40
000008181203123e
000008181203163c
0000081812031a3a
0000081812031e38
0000081812032236
0000081812032634
0000081812032a32
0000081812032e30
000008181203322e
000008181203362c
0000081812033a2a
0000081812033e28
0000081812034226
0000081812034624
0000081812034a22
0000081812034e20
000008181203521e
000008181203561c
0000081812035a1a
0000081812035e18
0000081812036216
0000081812036614
0000081812036a12
0000081812036e10
000008181203720e
000008181203760c
000008181202fe86
0000081812030284
0000081812030682
0000081812030a80
0000081812030e7e
000008181203127c
000008181203167a
0000081812031a78
0000081812031e76
0000081812032274
0000081812032672
0000081812032a70
0000081812032e6e
000008181203326c
000008181203366a
0000081812033a68
0000081812033e66
0000081812034264
0000081812034662
0000081812034a60
0000081812034e5e
000008181203525c
000008181203565a
0000081812035a58
0000081812035e56
0000081812036254
0000081812036652
0000081812036a50
0000081812036e4e
000008181203724c
000008181203764a
000008181202fec4
00000818120302c2
00000818120306c0
0000081812030abe
0000081812030ebc
00000818120312ba
00000818120316b8
0000081812031ab6
0000081812031eb4
00000818120322b2
00000818120326b0
0000081812032aae
0000081812032eac
00000818120332aa
00000818120336a8
0000081812033aa6
0000081812033ea4
00000818120342a2
00000818120346a0
0000081812034a9e
0000081812034e9c
000008181203529a
0000081812035698
0000081812035a96
0000081812035e94
0000081812036292
0000081812036690
0000081812036a8e
0000081812036e8c
000008181203728a
0000081812037688
000008181202ff02
0000081812030300
00000818120306fe
0000081812030afc
0000081812030efa
00000818120312f8
00000818120316f6
0000081812031af4
0000081812031ef2
00000818120322f0
00000818120326ee
0000081812032aec
0000081812032eea
00000818120332e8
00000818120336e6
0000081812033ae4
0000081812033ee2
00000818120342e0
00000818120346de
0000081812034adc
0000081812034eda
00000818120352d8
00000818120356d6
0000081812035ad4
0000081812035ed2
00000818120362d0
00000818120366ce
0000081812036acc
0000081812036eca
00000818120372c8
00000818120376c6
000008181202ff40
000008181203033e
000008181203073c
0000081812030b3a
0000081812030f38
0000081812031336
0000081812031734
0000081812031b32
0000081812031f30
000008181203232e
000008181203272c
0000081812032b2a
0000081812032f28
0000081812033326
0000081812033724
0000081812033b22
0000081812033f20
000008181203431e
000008181203471c
0000081812034b1a
0000081812034f18
0000081812035316
0000081812035714
0000081812035b12
0000081812035f10
000008181203630e
000008181203670c
0000081812036b0a
0000081812036f08
0000081812037306
0000081812037704
000008181202ff7e
000008181203037c
000008181203077a
0000081812030b78
0000081812030f76
0000081812031374
0000081812031772
0000081812031b70
0000081812031f6e
000008181203236c
000008181203276a
0000081812032b68
0000081812032f66
0000081812033364
0000081812033762
0000081812033b60
0000081812033f5e
000008181203435c
000008181203475a
0000081812034b58
0000081812034f56
0000081812035354
0000081812035752
0000081812035b50
0000081812035f4e
000008181203634c
000008181203674a
0000081812036b48
0000081812036f46
0000081812037344
0000081812037742
000008181202ffbc
00000818120303ba
00000818120307b8
0000081812030bb6
0000081812030fb4
00000818120313b2
00000818120317b0
0000081812031bae
0000081812031fac
