00004018120001f0
00000818120005ee
00000818120009ec
0000081812000dea
00000818120011e8
00000818120015e6
00000818120019e4
0000081812001de2
00000818120021e0
00000818120025de
00000818120029dc
0000081812002dda
00000818120031d8
00000818120035d6
00000818120039d4
0000081812003dd2
00000818120041d0
00000818120045ce
00000818120049cc
0000081812004dca
00000818120051c8
00000818120055c6
00000818120059c4
0000081812005dc2
00000818120061c0
00000818120065be
00000818120069bc
0000081812006dba
00000818120071b8
00000818120075b6
00000818120079b4
000008181200022e
000008181200062c
0000081812000a2a
0000081812000e28
0000081812001226
0000081812001624
0000081812001a22
0000081812001e20
000008181200221e
000008181200261c
0000081812002a1a
0000081812002e18
0000081812003216
0000081812003614
0000081812003a12
0000081812003e10
000008181200420e
000008181200460c
0000081812004a0a
0000081812004e08
0000081812005206
0000081812005604
0000081812005a02
0000081812005e00
00000818120061fe
00000818120065fc
00000818120069fa
0000081812006df8
00000818120071f6
00000818120075f4
00000818120079f2
000008181200026c
000008181200066a
0000081812000a68
0000081812000e66
0000081812001264
0000081812001662
0000081812001a60
0000081812001e5e
000008181200225c
000008181200265a
0000081812002a58
0000081812002e56
0000081812003254
0000081812003652
0000081812003a50
0000081812003e4e
000008181200424c
000008181200464a
0000081812004a48
0000081812004e46
0000081812005244
0000081812005642
0000081812005a40
0000081812005e3e
000008181200623c
000008181200663a
0000081812006a38
0000081812006e36
0000081812007234
0000081812007632
0000081812007a30
00000818120002aa
00000818120006a8
0000081812000aa6
0000081812000ea4
00000818120012a2
00000818120016a0
0000081812001a9e
0000081812001e9c
000008181200229a
0000081812002698
0000081812002a96
0000081812002e94
0000081812003292
0000081812003690
0000081812003a8e
0000081812003e8c
000008181200428a
0000081812004688
0000081812004a86
0000081812004e84
0000081812005282
0000081812005680
0000081812005a7e
0000081812005e7c
000008181200627a
0000081812006678
0000081812006a76
0000081812006e74
0000081812007272
0000081812007670
0000081812007a6e
00000818120002e8
00000818120006e6
0000081812000ae4
0000081812000ee2
00000818120012e0
00000818120016de
0000081812001adc
0000081812001eda
00000818120022d8
00000818120026d6
0000081812002ad4
0000081812002ed2
00000818120032d0
00000818120036ce
0000081812003acc
0000081812003eca
00000818120042c8
00000818120046c6
0000081812004ac4
0000081812004ec2
00000818120052c0
00000818120056be
0000081812005abc
0000081812005eba
00000818120062b8
00000818120066b6
0000081812006ab4
0000081812006eb2
00000818120072b0
00000818120076ae
0000081812007aac
0000081812000326
0000081812000724
0000081812000b22
0000081812000f20
000008181200131e
000008181200171c
0000081812001b1a
0000081812001f18
0000081812002316
0000081812002714
0000081812002b12
0000081812002f10
000008181200330e
000008181200370c
0000081812003b0a
0000081812003f08
0000081812004306
0000081812004704
0000081812004b02
0000081812004f00
00000818120052fe
00000818120056fc
0000081812005afa
0000081812005ef8
00000818120062f6
00000818120066f4
0000081812006af2
0000081812006ef0
00000818120072ee
00000818120076ec
0000081812007aea
0000081812000364
0000081812000762
0000081812000b60
0000081812000f5e
000008181200135c
000008181200175a
0000081812001b58
0000081812001f56
0000081812002354
0000081812002752
0000081812002b50
0000081812002f4e
000008181200334c
000008181200374a
0000081812003b48
0000081812003f46
0000081812004344
0000081812004742
0000081812004b40
0000081812004f3e
000008181200533c
000008181200573a
0000081812005b38
0000081812005f36
0000081812006334
0000081812006732
0000081812006b30
0000081812006f2e
000008181200732c
000008181200772a
0000081812007b28
00000818120003a2
00000818120007a0
0000081812000b9e
0000081812000f9c
000008181200139a
0000081812001798
0000081812001b96
0000081812001f94
0000081812002392
0000081812002790
